Client,Street,City,State,ZIP
B03206,211 West Wacker Drive Suite 1130   ,Chicago,IL,60606
B01959,7677 Oakport Street SUite 1040  ,Oakland,CA,94621
WRL2762,110 Physical Plant Bldg 110 Bryce Jordan Center  ,University Park,PA,16802-1119
B02998,6635 W. Happy Valley Road Suite A104-607   ,Glendale,AZ,85310
B02959,6404 North 70th Plaza   ,Omaha,NE,68104
B02964,"1115 K Street, Suite 104   ",Lincoln,NE,68508
B03213,7145 Boone Avenue North Suite 200B   ,Brooklyn Park,MN,55428
B04615,"Crescent VII 8390 E. Crescent Parkway, #300  ",Greenwood Village,CO,80111
B03189,100 Mustang Dr.   ,Anderson,MO,64831
B03306,7633 Alexander Hills St.   ,Las Vegas,NV,89139
B03219,399 Sun Valley Blvd   ,Lincoln,NE,68528
B03224,101 East Central Avenue   ,Moultrie,GA,31768
B04615,"1687 114th Avenue, SE #250   ",Bellevue,WA,98004
B02997,7608 W. Teco Avenue   ,Las Vegas,NV,89113
B03181,"1485 River Park Drive, Suite 100   ",Sacramento,CA,95815-4501
B10033,7500 Mercy Road   ,Omaha,NE,68124
B02976,302 W. 5th Street Suite 207  ,San Pedro,CA,90731
B03218,PO Box 460   ,Phenix City,AL,36868
B03879,15255 S. 94th Avenue Suite 601  ,Orland Park,IL,60462
B03888,233 East Wacker Drive Suite 4411   ,Chicago,IL,60601
B03230,201 California St Suite 1240   ,San Francisco,CA,94111
B03237,1530 South Olive Street   ,Los Angeles,CA,90015
B03238,1910 W. Sunset Blvd. Suite 650  ,Los Angeles,CA,90026
B03953,800 School St.   ,Bauxite,AR,72011
B03250,13855 River Road   ,Luling,LA,70070
B03252,2402 North Parkerson Ave PO Drawer 309  ,Crowley,LA,70526
B03301,1220 Pacific Highway   ,San Diego,CA,
B03354,117 East Colorado Blvd.   ,Pasadena,CA,91105
B03358,301 First Street   ,Cullman,AL,35055
B02973,1733 E. McKellips Rd. #112   ,Tempe,AZ,85281
B01642,5358 W. Commerce St.   ,San Antonio,TX,78237
B04499,810 NW Marshall St Ste 300  ,Portland,OR,97209
B03307,"1450 Halyard Drive, Suite One   ",West Sacramento,CA,95691
B03949,506 S. Smelter   ,Cherokee,KS,66724
B03317,7932 South Strawtown Pike   ,Bunker Hill,IN,46914
B03359,119 S. Los Robles Avenue Suite 535  ,Pasadena,CA,91101
B03364,300 Keokuk Street   ,Lincoln,IL,62656
B03409,8306 Century Park Court - CP42C   ,San Diego,CA,92123
B03432,1 MacArthur Place Suite 300  ,South Coast Metro,CA,92707
B03214,167 Waverly Drive   ,Pasadena,CA,91105
B02989,2029 Century Park East Suite 515  ,Los Angeles,CA,90067
B03180,18201 Von Karman Avenue Suite 500  ,Irvine,CA,92612
B01157,4646 E. Shadow Rock   ,Phoenix,AZ,85028
B01158,9115 Hague Road   ,Indianapolis,IN,46250
B03308,6975 W Windmill Ln   ,Las Vegas,NV,
BMG053,10801 Mastin Blvd   ,Overland Park,KS,66210
B03932,1100 Longhorn Drive   ,Weatherford,TX,76086
B03215,   ,Los Olivos,CA,93441
B03311,380 New York Street   ,Redlands,CA,92373
B01924,155 West Granite Street   ,Butte,MT,59701
B03314,601 Second Street   ,McFarland,CA,93250
B03319,1240 State Road 930 East   ,New Haven,IN,46774
B01164,12441 US Highway 40 PO Box 146  ,Highland,IL,62249
B03360,15600 Concord Circle   ,Morgan Hill,CA,95037
B01249,3405 SE Crossroads Drive Suite G  ,Grimes,IA,50111
B03937,600 W. Pearl St.   ,Granbury,TX,76048
B03370,ATTN: VENDOR PAY 660 S. Aspen St. MS #66  ,Buckley Air Force Base,CO,80011-9551
B02335,2680 West County Road 476   ,Bushnell,FL,33513
B02944,One East Progress Road   ,Lombard,IL,60148
B02961,2141 E. Broadway Suite #105  ,Tempe,AZ,85282
B02965,"1st National Bank Building 332 Minnesota Street, Suite E200  ",Saint Paul,MN,55101-1351
B03236,2040 Camfield Avenue   ,Los Angeles,CA,90040
B03255,118 West 10th st.   ,Reserve,LA,70084
B01172,170 W. San Jose Ave.   ,Claremont,CA,91711
B03371,710 Encintas Blvd   ,Encintas,CA,92024
B03688,"2441 Warrenville Road, Suite 610   ",Lisle,IL,60532-3642
B03689,"300 N. 44th St., Suite 116   ",Lincoln,NE,68503
B03930,1200 N Beaver Street   ,Flagstaff,AZ,86001
B03777,901 44th Street Southeast   ,Grand Rapids,MI,49508
B03179,"8375 W. Flamingo Rd., Suite 200   ",Las Vegas,AZ,89147
B03185,14300 Judicial Road   ,Burnsville,MN,55306
B03410,1311 W. Foothill Blvd.   ,Azuza,CA,91702
B03927,2800 Walton Rd   ,Tyler,TX,75701
B03947,4100 E. Mississippi Ave.   ,Glendale,CO,80246
B03434,9855 West 78th St   ,Eden Prairie,MN,55344
B03955,4775 Dodd Rd.   ,Eagan,MN,55123
B3651,"10250 Constellation Blvd, 19th Floor   ",Los Angeles,CA,90067
B3652,78 1/2 Patton Avenue   ,Asheville,NC,28801
B03253,220 S. Jefferson St.   ,Abbeville,LA,7051
B03256,   ,Beaumont,CA,92223
B03910,330 2nd Ave. S suite 750  ,Minneapolis,MN,55401
B03361,855 Lenzen Ave   ,San Jose,CA,95126
B03917,10124 Meade Lane   ,Minneapolis,MN,55347
B03922,201 North Wall Street   ,Calhoun,GA,30701
B3837,3115 Ganado Drive   ,Rancho Palos Verdes,CA,90275-6246
B03924,PO Box 89   ,Waynesboro,GA,30830
B03925,131 West Haynes Street   ,Sandersville,GA,31082
B3838,5675 Power Inn Rd.   ,Sacramento,CA,95824
B3839,"1875 Century Park East, Suite 1380   ",Los Angeles,CA,90067
B3840,1249 F Street   ,San Diego,CA,92101
B05478,3712 Cedar Heights Drive   ,Cedar Falls,IA,50613
B02912,suite 360   ,Edina,MN,55439
B03705,1220 State Street   ,Santa Barbara,CA,93101
B03713,8212 Parkview Drive   ,Urbandale,IA,50322
B03235,501 S. Idaho St.   ,La Habra,CA,90631
B04805,911 Hwy 10 W   ,Orange City,IA,51041
B04461,318 S. Grape St.   ,Medford,OR,97501
B03745,"949 South Hope Street, Suite 100   ",Los Angeles,CA,90015
B02968,"1801 South Rainbow Blvd., Suite 270   ",Las Vegas,NV,89146-0003
B03183,100 Potrero Avenue   ,San Francisco,CA,94103
B01169,Construction and Facilities Management Office 2400 N.W. 24th St.  ,Lincoln,NE,68524
B01171,"11601 Wilshire Blvd., Suite 1650   ",Los Angeles,CA,90025
B03746,10340 Santa Monica   ,Los Angeles,CA,90025
B03898,101 W Lamine St   ,Lincoln,MO,65338
B03184,4140 South 87th Street   ,Omaha,NE,
B03750,2719 Stillwater Road   ,St. Paul,MN,55119
B03754,119 SW Adams Street   ,Peoria,IL,61602
B03755,1785 Hancock Street Suite 200  ,San Diego,CA,92110
B03761,600 First Ave. North   ,Minneapolis,MN,55403
B01803,Sent via Email:  accounts-dlrgroup@ellipse.net 134 South 13th Street  Suite 301  ,Lincoln,NE,68508
B02898,751 7th St. S suite 100  ,Delano,MN,55328
SI474,3000 Internet Blvd. Suite 300  ,Frisco,TX,75034
