,LearningCommArea_LGI,LearningCommArea_IndependentStudy,LearningCommArea_SGI,LearningCommArea_SelfContainedClassrooms,LearningCommArea_Community,LearningCommArea_BreakoutAreas,LearningCommArea_PresentationAreas,LearningCommArea_OutdoorLearning,LearningCommArea_Section Notes,LearningCommArea_AvgRating,EduIEQ_Stimulating,EduIEQ_SafeHealthy,EduIEQ_ViewsConnect,EduIEQ_Daylight,EduIEQ_Lighting,EduIEQ_Acoustics,EduIEQ_MoveExplore,EduIEQ_Adaptability,EduIEQ_Section Notes,EduIEQ_AvgRating,IEQ_Furn_Design,IEQ_Furn_Flexibility,IEQ_Furn_VarietySeating,IEQ_Furn_Movement,IEQ_Furn_Section Notes,IEQ_Furn_AvgRating,Instructional_Regular_Size,Instructional_Regular_StorageMat,Instructional_Regular_Accessibility,Instructional_Regular_Section Notes,Instructional_Regular_AvgRating,Instructional_SPED_Size,Instructional_SPED_AppSupportspace,Instructional_SPED_StorageMat,Instructional_SPED_Techpower,Instructional_SPED_sink,Instructional_SPED_writeablesurface,Instructional_SPED_accessibility,Instructional_SPED_Section Notes,Instructional_SPED_AvgRating,Instructional_SciAPLCTE_sink,Instructional_SciAPLCTE_writeablesurface,Instructional_SciAPLCTE_accessibility,Instructional_SciAPLCTE_Section Notes,Instructional_SciAPLCTE_AvgRating,Instructional_Visual&Fitness_size,Instructional_Visual&Fitness_supportspace,Instructional_Visual&Fitness_storagemat,Instructional_Visual&Fitness_techpower,Admin&Health_Accessibility,Admin&Health_Mailcopy,Admin&Health_Reception,Admin&Health_adminoffice,Admin&Health_healthoffice,Admin&Health_confroom,Admin&Health_Section Notes,Admin&Health_AvgRating,Public_displaystudentwork,Public_storageforequipment,Public_mediacenter,Public_cafeteria,Public_gym,Public_auditorium,Public_Section Notes,Public_AvgRating,Instructional_Visual&Fitness_sink,Instructional_Visual&Fitness_writeablesurf,Instructional_Visual&Fitness_accessibility,Instructional_Visual&Fitness_Section Notes,Instructional_Visual&Fitness_AvgRating,Public_accessibility,Public_techpower,LearningCommArea_Playground,EduIEQ_UniversalDesign,EduIEQ_DisplayofWork,Instructional_Regular_Techpower,Instructional_Regular_Sink,Instructional_Regular_eboard,Instructional_SciAPLCTE_size,Instructional_SciAPLCTE_supportspace,Instructional_SciAPLCTE_storagemat,Instructional_SciAPLCTE_techpower,Header_bldgsqft,Header_enrolment,Header_numclassroom,Header_grades,Header_campustypology,Header_assessname,Header_assessdate,Headerr_region,Header_reconfig,Security_entry,Security_bldgsecurity,Security_sitesecurity,Security_identity,Security_wayfinding,Security_Section Notes,Security_AvgRating,LearningCommArea_Differentiated,LearningCommArea_PBL,Header_Schoolname,Header_code
50690-EAQ-ELSA E COUTO ANNONI.pdf,0,0,0,0,0,0,0,2,Add notes,0.363636,2,0,0,0,0,0,0,0,Add notes,0.2,0,0,0,0,Add notes,0,0,2,0,24x24 typical,0.666667,0,0,0,0,0,0,0,1 small space  Not sufficient,0,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,3 offices and separate staff toilets,0,0,0,0,0,2,0,Covered gym and seating/ small cafeteria,0.25,0,0,0,None observed,0,0,0,2,0,0,2,0,0,0,0,0,0,12387,128,9,K 1 2 3 4 5,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,0,0,4,2,2,Add notes,1.6,0,0,ELSA E COUTO ANNONI,50690
50773-EAQ-LUIS MUÑOZ RIVERA.pdf,0,0,0,0,0,0,0,0,Add notes,0.181818,2,0,0,2,0,0,0,0,Add notes,0.4,0,0,0,0,Add notes,0,0,0,0,24x28,0.666667,0,0,0,0,0,0,0,13x28 classroom no plumbing,0,0,0,0,None observed,0,2,0,0,2,0,0,0,0,0,0,1 small office and reception area   Not near entry,0,0,0,0,0,2,0,Cafeteria 36x24/ very small library with limited media,0.25,0,0,0,Add notes,0.571429,0,0,2,0,0,2,0,2,0,0,0,0,14938,102,11,PK K 1 2 3 4 5,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,2,0,2,0,0,Many small mazes of buildings,0.8,0,0,LUIS MUÑOZ RIVERA,50773
50781-EAQ-MAGUEYES II.pdf,0,0,0,0,0,0,0,0,School is not occupied.,0,0,0,2,2,0,0,0,0,"Deadend corridor at the 2 stories building, classrooms are not occupied.",0.4,2,0,0,0,Classrooms are not occupied.,0.5,0,2,0,"Classroom: 27x23, kinder: 25x38",1,0,0,2,0,0,2,0,SPED Classroom: 23x27,0.571429,2,0,0,N/A,0.571429,0,0,0,0,0,0,0,0,0,0,"2 offices, no conference room - use empty classroom",0,0,2,0,0,0,0,"Share basketball court with community, Cafeteria/kitchen: 27x23 - sinks are not working",0.25,0,0,0,N/A,0,0,0,0,0,0,0,2,2,0,0,2,0,12684,127,10,PK K 1 2 3 4 5        EEE,Enter Text,Tianyu Zhang,2/14/2022,PONCE,Enter Text,0,0,2,2,0,Wire mesh fence,0.8,0,0,MAGUEYES II,50781
50799-EAQ-MARIA L MC DOUGALL.pdf,0,0,0,2,2,0,0,2,Outdoor spaces are used for various activities,0.727273,4,2,0,4,0,0,0,0,Add notes,1,0,0,0,0,Add notes,0,0,2,2,24x30  Some operable walls,1,2,0,0,0,2,2,2,Add notes,1.142857,0,0,0,None observed,0,0,0,2,0,2,0,0,0,0,0,Add notes,0.333333,0,0,0,0,0,2,Small cafeteria,0.25,2,0,0,Have bathrooms,0.571429,0,0,0,0,0,2,0,0,0,0,0,0,26206,135,22,PK K 1 2 3 4 5        EEE,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,2,2,4,2,2,Add notes,2.4,0,2,MARIA L MC DOUGALL,50799
51177-EAQ-HIPÓLITO GARCÍA.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,14888,229,19,K 1 2 3 4 5 6 7 8,Extensive Structural damage Buildings closed and locked. No students. ,Mark Kirby,2/14/2022,PONCE,Enter Text,0,0,0,0,0,Add notes,0,0,0,HIPÓLITO GARCÍA,51177
51185-EAQ-ARISTIDES CALES QUIROS.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,55446,344,41,6 7 8      EEI,Abandoned due to structural damage. No access to any buildings. ,Mark Kirby,2/14/2022,PONCE,Enter Text,0,0,0,0,0,Add notes,0,0,0,ARISTIDES CALES QUIROS,51185
51292-EAQ-QUEBRADAS.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,2,0,2,0,0,0,0,Add notes,0.4,0,0,0,0,Add notes,0,0,0,0,24x24,0.666667,0,0,0,0,0,0,0,3 small office sized rooms for SPED,0,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,Admin on second floor/  No ramp access,0,0,0,0,0,0,0,No library/ could not access kitchen/ cafeteria/ no gym,0,0,0,0,None observed,0,0,0,0,0,0,2,0,2,0,0,0,0,16916,225,20,PK K 1 2 3 4 5,Enter Text,Scott Pashia,2/15/2022,PONCE,Enter Text,0,0,2,2,0,Add notes,0.8,0,0,QUEBRADAS,51292
51334-EAQ-DALILA TORRES.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,2,0,0,0,0,Add notes,0.2,0,0,0,0,Add notes,0,0,0,0,24x24,0.666667,0,0,2,2,4,2,0,Separate building for SPED,1.428571,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,No library/ cafeteria very small/ no gym,0,0,0,0,None observed,0,0,0,0,0,0,2,0,2,0,0,0,0,15909,118,15,K 1 2 3          EEE,Enter Text,Scott Pashia,2/15/2022,PONCE,Enter Text,0,0,2,0,0,K-3  120 students,0.4,0,0,DALILA TORRES,51334
51862-EAQ-WEBSTER.pdf,0,0,2,2,0,0,0,0,Lots of classrooms are shared with different use since a 2 stories building in campus is not occupied.,0.545455,0,0,0,2,0,0,0,2,Operable partition track in auditorium ,0.6,2,2,0,0,Typical PR desk,1,2,2,2,"Kindergarten: 28x30, typ classroom: 27x25",1.666667,0,0,2,0,0,2,0,"No specific SPED classroom - use other rooms as needed, SPED classrooms were in building affected by earthquake, self contained classroom: 25x26, pullout room: 25x26",0.571429,2,2,2,Science classroom: 24x30 - don't use chemicals so no exhaust,1.428571,0,0,2,2,2,2,2,2,4,0,"2 admin areas, 1 principal office in admin area - roof leaking problems in principal's office, reception area: social worker, health in this area",2,0,0,0,0,0,2,"Library: 24x30 - space shared with speech therapy, cafeteria: 47x25 - no kitchen hood, serves 250 students, no gym/basketball court - use outdoor courtyard; auditorium has operable partition track in center of space, but no partition: 60x25, have to go through auditorium to get to 2 other classrooms",0.75,0,2,2,"Art classroom: 24x30 - used as typ classroom because of space needs, fitness health: 24x30, music classroom: 24x26",1.142857,2,2,2,0,2,0,2,2,0,0,2,2,35108,344,28,K 1 2 3          EEE,Enter Text,Tianyu Zhang,2/16/2022,PONCE,Enter Text,0,2,2,2,0,Concrete wall + iron picket fence ,1.2,0,0,WEBSTER,51862
51870-EAQ-RAFAEL IRIZARRY RIVERA.pdf,0,0,2,2,0,0,0,0,"Has art classroom but no teacher, use as parents/community room",0.727273,2,2,2,2,2,0,0,0,"Classrooms are renovated, new paint and equipment ",1.2,2,2,0,0,Typical PR desk in like new condition ,1,2,0,2,"Classroom: 24x31, smart boards are working",1.666667,0,0,2,2,0,2,2,SPED Classroom: 23x30,1.142857,4,2,2,Science classroom: 31x36 - no exhaust system,2,2,0,0,0,2,2,2,2,2,0,"1 principal office, 4 other offices, nurse office, no conference room, use art classroom for meetings",1.666667,0,2,2,2,0,0,"Library: 30x72 - not in use due to termite issue, cafeteria: (2) dining areas - 28x60 & 60x23 - serves 200 students, have basketball court - roof leakage problems, some lights do not work, have power, some downspouts are damaged or broken",1,0,2,2,"Fitness/health classroom: 24x29, music classroom: 24x31, art classroom: 47x30",0.857143,0,2,2,0,2,2,0,4,2,0,2,2,62064,300,34,7 8 9     EEI,Enter Text,Tianyu Zhang,2/16/2022,PONCE,Enter Text,2,2,2,0,2,"Iron picket fence, recently (2006) renovated, security cameras are available for principal to supervise.",1.6,2,0,RAFAEL IRIZARRY RIVERA,51870
