,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
686,3501 new lawrence road leavenworth ks 66048,3501 new lawrence road leavenworth ks 66048,1.0000000000000007,97052,97052,Leavenworth New Intermediate Center*,Contract,I,Academic,RICHARD WARREN MIDDLE SCHOOL,710,66486.0,93.64225352112676
828,4622 ohio street longview wa 98632,4622 ohio street longview wa 98632,1.0000000000000007,28470,28470,Robert Gray Elementary School - Longview,,D,,ROBERT GRAY ELEMENTARY,445,47000.0,105.61797752808988
709,36925 hwy 101 s cloverdale or 97112,36925 hwy 101 s cloverdale or 97112,1.0000000000000007,111963,111963,Nestucca K-8 School,Contract,A,Middle School,NESTUCCA VALLEY ELEMENTARY,268,76000.0,283.5820895522388
1,1 eagle way broomfield co 80020,1 eagle way broomfield co 80020,1.0000000000000007,80469,80469,Broomfield HS Improvements - 2016,Contract,I,Academic,BROOMFIELD HIGH SCHOOL,1564,92000.0,58.8235294117647
174,1234 n monticello ave chicago il 60651,1234 n monticello ave chicago il 60651,1.0000000000000007,12728,12728,CPS - Cameron ES Renovation,Contract,D,Elementary School,CAMERON ELEM SCHOOL,688,119500.0,173.6918604651163
824,4540 american river dr sacramento ca 95864,4540 american river dr sacramento ca 95864,1.0000000000000004,70624,70624,"San Juan USD-Rio Americano HS, PA/MC",Contract,I,Academic,RIO AMERICANO HIGH,1953,13800.0,7.06605222734255
492,2250 s college ave tempe az 85282,2250 s college ave tempe az 85282,1.0000000000000004,108811,108811,Tempe Academy (TAIS),Contract,A,Academic,TEMPE ACADEMY OF INTERNATIONAL STUDIES MCKEMY CAMPUS,352,67005.0,190.35511363636363
259,1420 neal dow ave chico ca 95926,1420 neal dow ave chico ca 95926,1.0000000000000004,88673,88673,Chico USD Neal Dow ES Modernization,Contract,D,Elementary School,NEAL DOW ELEMENTARY,355,49800.0,140.28169014084506
258,1420 neal dow ave chico ca 95926,1420 neal dow ave chico ca 95926,1.0000000000000004,92099,92099,"Chico USD Neal Dow ES Mod, Full Scope",Contract,A,Elementary School,NEAL DOW ELEMENTARY,355,50773.0,143.0225352112676
728,3838 nw walnut blvd corvallis or 97330,3838 nw walnut blvd corvallis or 97330,1.0000000000000002,108608,108608,"Corvallis SD- Husky ES, New",Contract,A,Elementary School,HOOVER ELEMENTARY SCHOOL,382,64400.0,168.58638743455498
1003,6888 black forest road colorado springs co 80923,6888 black forest road colorado springs co 80923,1.0000000000000002,20356,20356,Vista Ridge HS Concession/RR Bldg,Contract,D,Athletic Field,VISTA RIDGE HIGH SCHOOL,1615,4500.0,2.7863777089783284
742,400 eisenhower baldwin city ks 66006,400 eisenhower baldwin city ks 66006,1.0000000000000002,10005,10005,Baldwin Jr. High Multipurpose Rm Renov,Contract,D,Middle School,BALDWIN JUNIOR HIGH SCHOOL,336,103861.0,309.11011904761904
62,10255 lambert road peyton co 80831,10255 lambert road peyton co 80831,1.0000000000000002,86831,86831,Falcon HS Greenhouse,Contract,A,Academic,FALCON HIGH SCHOOL,1240,1176.0,0.9483870967741935
389,19875 dodd blvd lakeville mn 55044,19875 dodd blvd lakeville mn 55044,1.0000000000000002,81813,81813,Lake Marion Elementary School Addition,Contract,I,Academic,LAKE MARION ELEMENTARY,699,15440.0,22.088698140200286
962,616 north 2nd street johnstown co 80534,616 north 2nd street johnstown co 80534,1.0000000000000002,20478,20478,Roosevelt High School Addition & Remodel,,D,,ROOSEVELT HIGH SCHOOL,1061,246000.0,231.85673892554195
385,19710 state route 534 mount vernon wa 98274,19710 state route 534 mount vernon wa 98274,1.0000000000000002,28292,28292,Conway School+,Contract,D,Elementary School,CONWAY SCHOOL,489,60000.0,122.69938650306749
715,373 timber ridge st ne albany or 97322,373 timber ridge st ne albany or 97322,1.0000000000000002,93563,93563,Timber Ridge School,Contract,I,Middle School,TIMBER RIDGE SCHOOL,762,2200.0,2.8871391076115485
207,1300 monclaire st klamath falls or 97601,1300 monclaire st klamath falls or 97601,1.0000000000000002,80159,80159,Klamath Union HS Renovation+,Contract,I,Academic,KLAMATH UNION HIGH SCHOOL,667,148067.0,221.98950524737631
1173,8550 charity drive colorado springs co 80920,8550 charity drive colorado springs co 80920,1.0000000000000002,107040,107040,Academy International E.S.,Contract,I,Academic,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,521,196.0,0.3761996161228407
208,1300 monclaire st klamath falls or 97601,1300 monclaire st klamath falls or 97601,1.0000000000000002,74026,74026,Klamath Union HS Renovation,Contract,I,Academic,KLAMATH UNION HIGH SCHOOL,667,148067.0,221.98950524737631
939,600 red hawk drive hiawatha ks 66434,600 red hawk drive hiawatha ks 66434,1.0000000000000002,9744,9744,Hiawatha HS Weight Room Additions,Contract,D,High School,HIAWATHA SR HIGH,276,1000.0,3.6231884057971016
772,4190 bardot drive colorado springs co 80920,4190 bardot drive colorado springs co 80920,1.0000000000000002,93475,93475,Explorer Elementary School,Contract,I,Elementary School,EXPLORER ELEMENTARY SCHOOL,511,196.0,0.3835616438356164
734,3940 s teller street lakewood co 80235,3940 s teller street lakewood co 80235,1.0000000000000002,76139,76139,Addenbrooke Academy - Phase 2,Contract,I,Academic,ADDENBROOKE CLASSICAL ACADEMY,396,25990.0,65.63131313131314
145,1200 hidden valley parkway severance co 80550,1200 hidden valley parkway severance co 80550,1.0000000000000002,90562,90562,WCSD4 H.S. No. 2,Contract,A,Academic,SEVERANCE HIGH SCHOOL,360,166500.0,462.5
150,1201 galloway steilacoom wa 98388,1201 galloway steilacoom wa 98388,1.0000000000000002,28503,28503,Steilacoom Sd-Cherrydale Elem  Renovatio,,D,,CHERRYDALE ELEMENTARY,399,36134.0,90.56140350877193
895,5125 nw nan henriksen way camas wa 98607,5125 nw nan henriksen way camas wa 98607,1.0000000000000002,80954,80954,Camas SD New High School,Contract,I,High School,DISCOVERY HIGH SCHOOL,155,89600.0,578.0645161290323
1100,800 e schuster ave el paso tx 79902,800 e schuster ave el paso tx 79902,1.0000000000000002,65992,65992,El Paso ISD El Paso HS Reno & Additions,Notice to Proceed,A,High School,EL PASO H S,1506,57810.0,38.386454183266935
90,110 se alexander ave corvallis or 97333,110 se alexander ave corvallis or 97333,1.0000000000000002,108599,108599,"Corvallis SD- Lincoln ES, New",Contract,A,Elementary School,LINCOLN ELEMENTARY SCHOOL,376,65800.0,175.0
1084,7701 nw barry rd kansas city mo 64153,7701 nw barry rd kansas city mo 64153,1.0000000000000002,10402,10402,Park Hill High School Addns & Renovation,,D,,PARK HILL HIGH,1906,254000.0,133.26337880377756
1081,7654 n 19th ave phoenix az 85021,7654 n 19th ave phoenix az 85021,1.0000000000000002,14879,14879,Phoenix Day School for the Deaf,Contract,D,Middle School,ASDB/PHOENIX DAY SCHOOL,255,51410.0,201.6078431372549
678,35 s 4th street philadelphia pa 19106,35 s 4th street philadelphia pa 19106,1.0000000000000002,50465,50465,Mastery Charter School Lenfest Campus Re,,D,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
638,3223 il route 176 crystal lake il 60014,3223 il route 176 crystal lake il 60014,1.0000000000000002,12113,12113,Prairie Grove Middle School,Contract,D,,PRAIRIE GROVE ELEM SCHOOL,477,104000.0,218.02935010482182
