,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
450,5642 rosehill shawnee mission ks 66216,KS ,9385,Ray Marsh Elementary School Project,Elementary School,RAY MARSH ELEM,532,72000.0,135.33834586466165
184,18211 w las brisas dr goodyear az 85338,AZ ,26476,Liberty ESD New K-8 Elementary School,Elementary School,LAS BRISAS ACADEMY,537,61500.0,114.52513966480447
159,16610 bennington road bennington ne 68007,NE ,74309,Bennington HS Aux Gym Addn,High School,BENNINGTON HIGH SCHOOL,766,26500.0,34.595300261096604
109,130 alameda ave tacoma wa 98466,WA ,86540,Wainwright Elementary Phase 1 SD+,Elementary School,WAINWRIGHT,502,65000.0,129.4820717131474
556,9150 lexington drive colorado springs co 80920,CO ,20494,Mountain Ridge Middle School,Middle School,MOUNTAIN RIDGE MIDDLE SCHOOL,989,111400.0,112.63902932254803
316,3223 il route 176 crystal lake il 60014,IL ,12113,Prairie Grove Middle School,Middle School,PRAIRIE GROVE ELEM SCHOOL,477,104000.0,218.02935010482182
442,520 milford street salida co 81201,CO ,20536,Salida New Middle School,Middle School,SALIDA MIDDLE SCHOOL,372,56175.0,151.00806451612902
465,6205 farthing drive colorado springs co 80906,CO ,20485,Pinon Valley Elementary School,Elementary School,PINON VALLEY ELEMENTARY SCHOOL,315,45000.0,142.85714285714286
62,11375 sw center st beaverton or 97005,OR ,77979,Beaverton SD ACMA,Academic,ARTS AND COMMUNICATION MAGNET ACADEMY,706,75900.0,107.5070821529745
44,1085 pioneer trail east chaska mn 55318,MN ,20871,Pioneer Ridge Freshman Center,Middle School,PIONEER RIDGE MIDDLE SCHOOL,441,123800.0,280.72562358276645
323,3302 w 18th ave emporia ks 66801,KS ,9220,Emporia High School Addns & Renov,High School,EMPORIA HIGH,1598,55566.0,34.77221526908636
178,1805 preserve drive colorado springs co 80906,CO ,20484,Gold Camp Elementary School -  Cheyenne ,Elementary School,GOLD CAMP ELEMENTARY SCHOOL,472,46000.0,97.45762711864407
412,500 lawrence street baldwin city ks 66006,KS ,9868,Baldwin City Primary Center,Elementary School,BALDWIN ELEMENTARY PRIMARY CENTER,344,65195.0,189.5203488372093
331,35 s 4th street philadelphia pa 19106,PA ,50465,Mastery Charter School Lenfest Campus Re,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
332,35 s 4th street philadelphia pa 19106,PA ,50466,Mastery Charter School Lenfest Campus Re,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
125,13401 se 132nd ave clackamas or 97015,OR ,77273,NCSD Sunnyside ES,Elementary School,SUNNYSIDE ELEMENTARY SCHOOL,569,52000.0,91.3884007029877
376,425 n waverly road gardner ks 66030,KS ,75980,Gardner Edgerton HS-Additions & Renov,High School,GARDNER EDGERTON HIGH,1725,50000.0,28.985507246376812
134,1420 neal dow ave chico ca 95926,CA ,88673,Chico USD Neal Dow ES Modernization,Elementary School,NEAL DOW ELEMENTARY,355,49800.0,140.28169014084506
