,NameFilter,RoomModelId,ProjectName,RoomId,RoomName,Name2,Cluster,Label,ClustTotal,ClustRoomTotal,ClustRoomTypePorp
0,aca,-932672949,EL PASO COUNTY - CRIMINAL JUSTICE CENTER,-932672949:3059719,ACA,aca,-1,office officer court courts,5484,4,0.0
1,aca,-932672949,EL PASO COUNTY - CRIMINAL JUSTICE CENTER,-932672949:3248426,ACA,aca,-1,office officer court courts,5484,4,0.0
2,aca,-932672949,,-932672949:3248426,ACA,aca,-1,office officer court courts,5484,4,0.0
3,aca,-932672949,,-932672949:3059719,ACA,aca,-1,office officer court courts,5484,4,0.0
4,aca compliance coordinator,1904761374,NEW CORRECTIONAL FACILITIES LEASE,1904761374:8992472,ACA COMPLIANCE COORDINATOR,aca compliance coordinator,65,coordinator aca,22,5,0.23
5,aca compliance coordinator,617613224,NEW CORRECTIONAL FACILITIES LEASE,617613224:8992472,ACA COMPLIANCE COORDINATOR,aca compliance coordinator,65,coordinator aca,22,5,0.23
6,aca compliance coordinator,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3458702,ACA COMPLIANCE COORDINATOR,aca compliance coordinator,65,coordinator aca,22,5,0.23
7,aca compliance coordinator,-907561306,,-907561306:3458702,ACA COMPLIANCE COORDINATOR,aca compliance coordinator,65,coordinator aca,22,5,0.23
8,aca compliance coordinator,-676483167,ALABAMA PRISON PROGRAM - FACILITY 2,-676483167:8992472,ACA COMPLIANCE COORDINATOR,aca compliance coordinator,65,coordinator aca,22,5,0.23
9,acc cell,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:2029424,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
10,acc cell,943964884,KINGS COUNTY JUVENILE CENTER,943964884:2029424,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
11,acc cell,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:1999189,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
12,acc cell,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:2029424,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
13,acc cell,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:1999189,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
14,acc cell,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:1999189,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
15,acc cell,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:2029424,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
16,acc cell,943964884,KINGS COUNTY JUVENILE CENTER,943964884:1999189,ACC. CELL,acc cell,37,cell cells isolation,2890,8,0.0
17,acc single,1316760683,,1316760683:2695459,ACC. SINGLE,acc single,-1,office officer court courts,5484,2,0.0
18,acc single,1316760683,,1316760683:2695432,ACC. SINGLE,acc single,-1,office officer court courts,5484,2,0.0
19,acc visit,675607710,TULARE CO. SEQUOIA FIELD PROG.,675607710:2332192,ACC. VISIT,acc visit,58,visit visiting video,301,1,0.0
20,accesible holding,900551144,YAVAPAI COUNTY CRIMINAL JUSTICE CENTER,900551144:3218251,SMALL ACCESIBLE HOLDING,small accesible holding,71,holding hold discharge,366,2,0.01
21,accesible holding,900551144,,900551144:3218251,SMALL ACCESIBLE HOLDING,small accesible holding,71,holding hold discharge,366,2,0.01
22,access hallway,570677782,,570677782:4446207,ACCESS HALLWAY,access hallway,-1,office officer court courts,5484,4,0.0
23,access hallway,570677782,,570677782:4003955,ACCESS HALLWAY,access hallway,-1,office officer court courts,5484,4,0.0
24,access hallway,570677782,,570677782:4003955,ACCESS HALLWAY,access hallway,-1,office officer court courts,5484,4,0.0
25,access hallway,570677782,,570677782:4446207,ACCESS HALLWAY,access hallway,-1,office officer court courts,5484,4,0.0
26,access maintenance,-1610523404,SANTA RITA JAIL SB863 HEALTH PROGRAM SERVICES UNIT,-1610523404:2294604,MAINTENANCE ACCESS,maintenance access,10,maintenance storage,39,3,0.08
27,access maintenance,1447049507,St Charles County Department of Corrections,1447049507:4178093,MAINTENANCE ACCESS,maintenance access,10,maintenance storage,39,3,0.08
28,access maintenance,-1610523404,,-1610523404:2294604,MAINTENANCE ACCESS,maintenance access,10,maintenance storage,39,3,0.08
29,access public,1790801595,SOUTH COUNTY COURT / R.L. ANDERSON RENOVATIONS,1790801595:4324552,PUBLIC ACCESS SPACES,public access spaces,60,public file,68,2,0.03
30,access public,1790801595,,1790801595:4324552,PUBLIC ACCESS SPACES,public access spaces,60,public file,68,2,0.03
31,access roof,341930408,CLATSOP COUNTY JAIL REPLACEMENT,341930408:2778934,ROOF ACCESS,roof access,23,roof terrace,42,2,0.05
32,access roof,1282913660,JOINT REGIONAL CONFINEMENT FACILITY,1282913660:3265044,ROOF ACCESS,roof access,23,roof terrace,42,2,0.05
33,access sleeping,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:1969570,ACCESS. SLEEPING ROOM,access sleeping room,38,sleeping bed,576,4,0.01
34,access sleeping,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:1969570,ACCESS. SLEEPING ROOM,access sleeping room,38,sleeping bed,576,4,0.01
