Opportunities.OpportunityID,Street,City, State,Zip
F1A5969350144096AEC7A61C7C160D6C,,Abha, .,
E69B7FB346D3466680814F606E5C4D02,,Abha, .,
8118BB0F34BE45DD85AB580FEEB13B0A,,Abu Dhabi, AbuDahabi,
F575B8AA2C854282B2D7230AF47C2821,,Abu Dhabi, AbuDahabi,
06F71084DB864181B2AA15C664369E77,,Abu Dhabi, AbuDahabi,
71D2CC24CE2D4FA28C691A6D0D9ADC13,,Abu Dhabi, AbuDahabi,
491E12A63A754CE6AFA96EECCB1C1926,,Abu Dhabi, AbuDahabi,
8F64766BB98E4689A61977D2742FEDA7,,Al Hasa, .,
74176FF1E2FA4E3BA8A3F262E42E0B84,,Al Qassim, .,
85E816FCBC814872A2A71ED40404B82F,,Al-Khobar - Western province, .,
6492AE351D65481AB7B72C255165EBFF,,Al-Khobar, .,
A502AB45CEB44677B377DE83481132A9,,Al-Khobar, .,
9F6E8A0E714249718B12751E0A09DAA9,,Al-Khobar, .,
A9F3991B55694BBBB2674AEA49FF01C3,,Amman, add,
D544164A34C944B7AEBB9586493CF2E3,,Cairo, NewCairo,
30D4D06AA65640E6A3AC793E7B9727A2,,Cairo, NewCairo,
0C14B67621EB4B328F5D949E0EC0C592,,Chengdu, Sic,
ED98742B04714AD4A59EA60863B657CA,,Ciudad de Mexico, EM,
CDC899782B3E46F89CD61656C278D979,,Coquitlam, BC,
8AA471BA217D4CEBB890B3D2ADC16DA3,,Dammam, .,
3AAB4FB10251497C96A4952233C7C66B,,Diani, add,
E41A59E6001643638F90F3E8DB47F3DF,,Dibba, Fujairah,
7FB3868F8AC546CFBFF76A6A932B7BD4,,Dieppe, NB,
0E1D8FF719244B95946C1EEE2887371E,,Dublin, add,
1A04CBB71DBD44C19DFE78FC42478C5A,,Guangdong, Gau,
CF542EB11A9A4F4A99C8CC8D3DC6F7FE,,Guiyang, GZ,
0DC651B4A2AE4614BEE6367AF698F1EE,,Guiyang, GZ,
977E00157FFA4381A7603C842FD06BC1,,Guiyang, GZ,
C7F18CF6AE5A4B6F9DEC66B0C62D0C3B,,Guiyang, GZ,
81F702755A564C7B8391D954F8F58EC8,,Ha'il, .,
59E7676802DD4342B140632E7892A4BC,,Hainan, HI,
EFCE37BEA2AB4431ADE547714152042D,,Hangzhou, HI,
C53C688076B04265934FAF3771BFCA7D,,Hangzhou, NON-US,
E5A8CC51CDDC4C1F960E08D7188BF8D6,,Hangzhou, zhe,
6DD7E34DE5094355824B6ED369E176DA,,Ho Chi Minh, add,
A7F1CDCFAEA14394B13FC68DFC566461,,Jeddah & Riyadh, .,
504828A15E3842399949854123D8CE1D,,Jeddah, jedd,
45277315B8E34CC28F51B4BCD3911D4E,,Jeddah, jedd,
F2E3EC11AA994CE2A1D3AFD2F9434DBD,,Jeddah, jedd,
03D779A3E2B5400989DC2568BEC4ED0F,,Jeddah, jedd,
7702F8D333E24FC4B5F017F0669DE7A1,,Kampala, add,
E6CC722905C14CE188A8054DE93E3313,,Karen, Nairobi,
74E629D539FD4A81975E6E84F5026550,,Karen, Nairobi,
D57D27381C914D37B0B418295FD79DBE,,Khamis Mushait, .,
C934682FD1A74C38ABAA86B4B2B78C83,,Khamis Mushait, .,
7C376F9157294B8484F5592B5BCDD40D,,Kigali, add,
67113087E65B40ECB809510C1B762F3F,,Kigali, add,
E604B145D79D48CBA18892D6242F405B,,Madinah, .,
320C0EC87A494532B3BB8976CEF1CE53,,Madinah, .,
CB1C6D5EEBA347F484D1EC22649B55BF,,Madinah, .,
588006DD7246420DA1A340C26A8870B6,,Madinah, .,
19605460332841F08FA64E39C7C72A30,,Madinah, .,
6F27EA8140804267BBDE2BCF5B67091D,,Madinah, .,
4AE0D9E2470841A4860FE4AD6FA8EB39,,Madinah, .,
56F03B1F476A4C788E7F891A4A2EE8C2,,Madrid, NON-US,
9A55F0CDDDC943BEA0A8DBB70E52A451,,Makkah, .,
C2BABB6F51A84908807A8C69BDF921EF,,Makkah, .,
0AC1FCE4B03C40889F0D23ACF48D82D5,,Makkah, .,
37332B07AEFC4B1EB92AA88395341538,,Makkah, .,
8490286BE7174DCFA38FA885915B14A4,,Makkah, jedd,
2A015CB4EEB94B9DAB17914F2F2F4906,,Manilla, add,
CDF6FFC8C7614E4EA33FF8E4F3490FCB,,Mexico City, MX,
17BA30B2DE0C477EA20E28788A99A9E2,,Momasa, add,
9B1EA4646A89425297087944CF6EBC8B,,Multiple Cities, Port_Spain,
97AA85B5A1AC46288587E015FA67F925,,Multiple locations, riyadh,
BCF29272B933426DBDC770FED380E885,,Nairobi, Kenya,
B2B1F6235DB84F9EA081271400F459CC,,Nairobi, Kenya,
7069782DBF5D46B6971F83918239770E,,Nairobi, Nairobi,
AC021AE36FED4F9CAA7B895FAA8D9E52,,Nairobi, Nairobi,
2F4EE3D23FC34BC5A17EF4F46D0E59F8,,Nairobi, Nairobi,
F20E16E4636D41DE8220CC9334F02239,,NEOM, .,
4DED310E08C54953AE1F6B9A910FC6B2,,NEOM, .,
9B9A2CA4088343F08E8D20235974C592,,NEOM, .,
33F6D87E191F40A6A14BEE2445265DE9,,NEOM, .,
112842918EE9428B857526220DE2DCBA,,New Alamein, NewCairo,
1FE47CB356164423A9FE4C31E02D6B58,,New Cairo, NewCairo,
91A6ECA51B584D1C8C6CAFB0C0E6F32D,,New Cairo, NewCairo,
D0ED4E31930A40F4ADD622533165822F,,Obhur, jedd,
8DA3B39B8DBD4B99BD79AFCE7FD04E25,,Qingdao, QH,
37257D2D06374D9E951E486804F3DBCC,,Qingpu, shan,
DBD0F245EBA440C4A75591382AC391BC,,qionglai, NON-US,
978C8E1BB6624981B9B9A4CF95CE1F3D,,Richmond, BC,
EF9DC1E97C5441C79BC88F99CFED40AE,,Riyadh, .,
B00CB24574484D2096BD363A0913DF88,,Riyadh, .,
04E25FB5AFA64396A4246956F46787D6,,Riyadh, riyadh,
91531E005A02494DBFF3186E6F8B969C,,Riyadh, riyadh,
7E746FDC4DA1437C9079A36D551B4473,,Riyadh, riyadh,
DB5170768FAE41799B61F1B544830438,,Riyadh, riyadh,
446840E80F1E480FA9041C2CAA44E811,,Riyadh, riyadh,
EB752B94B439416EB6EADC1C850DB927,,Riyadh, riyadh,
63D2D930AD784602B61978194F0B370F,,Riyadh, riyadh,
383E8638D18141CC9322CD371A19941A,,Riyadh, riyadh,
CCE655A5D5C24260902DF799B037355B,,Riyadh, riyadh,
61F3A8F74A054C418D7E7EA070BCD4E1,,Riyadh, riyadh,
FC5FD8290F344BD08029315C5A0D97BC,,Riyadh, riyadh,
075674BCD6C14AE7AC34211CFE378176,,Riyadh, riyadh,
DC809E28049B42C6B716368FD78659B2,,Sahrjah, Sharjah,
A2506B2EADB04F27AC9363C4DDA9624B,,Saint John's, NF,
98B911A936054CCCBA86B4694B7F1BA6,,Saskatoon, SK,
180F8E4CC16F408586584DB1431AD224,,Saskatoon, SK,
B07C763B93EA41C197716C56D1F3F7A2,,Shanghai, NON-US,
F1753D83776D4766B8929FE29E30E6B2,,Shanghai, shan,
A9F4DC24007C486C9F342DF3117D321E,,Shanghai, shan,
D5C2C9FC76D44DACA3D1217A6A013AAA,,Shanghai, shan,
608A510719E34D52926CB317441E534C,,Shanghai, shan,
DF70811B0E9C4ECD920ADD428C9958C6,,Shanghai, shan,
ED039CD184F148F89190EE9CD65F66D2,,Shanghai, shan,
7BBDAEFA1E864F0F9D52D022FD048630,,Shanghai, shan,
F12B8D86EFAF43249A5BE4B21EE5B392,,Shanghai, shan,
2CB1A3C79EDF4FA89363CC1333F60FEB,,Shanghai, shan,
F1AFA59B205942D9A49A8EEC1F3ED690,,Shanghai, shan,
064FA618AA03420E88BA6381026745AB,,Shanghai, shan,
WRL2099,,Shanghai, shan,
8ED4A3781C9D48989B98CD7CE365933A,,Shanghai, shan,
WRL2082,,Shanghai, shan,
WRL2097,,Shanghai, shan,
9B79942BD070432DA58352D25E42D8AE,,Sharjah, Sharjah,
D677B28FF9454EF78B8812080F44428E,,ShengZhen, NON-US,
098A2BCD5B25429FA64320B509597614,,ShengZhen, NON-US,
E587211CBE474CC7B0153FA0646F09DC,,ShengZhen, NON-US,
9D4CD0C69A954913904A5C0FDC6397FD,,ShengZhen, NON-US,
493DEFC4A9A74F149C71A61C9E7D6588,,ShengZhen, NON-US,
419365744C5E42BDB1EEA52975085E18,,ShengZhen, NON-US,
61F12718E9BB4928A7806C03924D32FE,,Shenzhen, NON-US,
A4E4E03F381F4207A948D99A2697575D,,Shenzhen, NON-US,
A257EE1C3ACD4AF28B805776095EFCC7,,Shenzhen, NON-US,
WRL2046,,Shenzhen, NON-US,
459311033FFF436B998C42B683275109,,St. Croix, stCroix,
CAF6D0768D6A4BC5AFCEB2C4D9081C6F,,Surrey, BC,
862AB6B9833D447ABB8D348E6ABE534E,,Surrey, BC,
0D81360FED7A41C3BFC93868D956C06E,,Surrey, BC,
64DB4501F36747B197516D207993D2B3,,suzhou, zhe,
BC6CC8BEBCA149759AB70C0C19E5808C,,Taicang, JS,
E0C20F643EBF4D98B36A7A5BB1920A4D,,Thunder Bay, ON,
4D96BC73415A4035A52C6FA29C7F1E75,,Toronto, ON,
C5EA1C61FFE3499FBD834C86857B70B7,,Vancouver, BC,
