,Region,School Name,12.	What are your 5 most important concerns about the condition of the site and building(s) on your campus?  ,Top5,g.  Sensory Room,h.  Independent Learning Lab,i.  Autism Room,b.  Air conditioning,Quality Of Classrooms,Leverage Outdoor Space,Community Assembly,Overall,Perception of Environment heat,Toilet Facilities,Columns Need Repair,Air Conditioner,Paint,Leak,Roof,Ceiling,Fungus Mold,Electric,Plumbing,Fence,Gate,Pests
0,Ponce,(CROEV)ESPECIALIZADA EN CIENCIAS Y MATEMATICAS	54862,Roofs must be sealed to prevent further deterioration of cement and galbalum structures,roof must seal prevent deterioration cement galbalum structure,,,,2.0,4.0,4.0,4.0,4.0,2.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0
1,Humacao,6 DE SEPTIEMBRE DE 1988	35295,"Physical plant with leaks, EXPOSED RODS ON THE FLOOR OF THE CORRIDOR OF THE SECOND FLOOR. THE STRUCTURE HAS COMEJEN.  PROBLEMS WITH LIGHTING, THE SCHOOL COURT HAS A PLAGUE OF PIGEONS SO THERE IS EXCREMENT EVERYWHERE WHICH AFFECTS EVERYONE'S HEALTH.  
Damaged windows and operators",physical plant leak expose rod floor corridor second floor structure comejen problem light school court plague pigeon excrement everywhere affect everyone health damage window operator,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1
2,Bayamón,ABELARDO DIAZ ALFARO 74864,"The school does not have electricity at this time.
Has leaks in some classroom areas.
It has damaged air conditioners in the library.
The court requires maintenance, it has damaged lights and needs replacement of hoops and paint.
The school in general needs painting.
 In the office there is damaged air.",school electricity time leak classroom area damage air conditioner library court require maintenance damage light need replacement hoop paint school general need paint office damage air,,,,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0,1,1,1,0,0,0,1,0,0,0,0
3,Arecibo,ABELARDO MARTINEZ OTERO	15784,"Ramp in deterioration, main gates in deterioration, leaks in rooms and library, exposed rods on walls, lack of paint",ramp deterioration main gate deterioration leak room library expose rod wall lack paint,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0,0,1,1,0,0,0,0,0,0,1,0
4,Ponce,ABRAHAM LINCOLN	52357,"School painting Ceiling of broken halls
Kindergarten roof that filters on the side and tolete that comes out of the donut
A room biga in need of repair
Low water pressure throughout the school
Delivery in corridors
Consoles in library and kindergarten room (damaged)",school paint ceiling broken hall kindergarten roof filter side tolete come donut room biga need repair low water pressure throughout school delivery corridor console library kindergarten room damage,,,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0
5,Caguas,ADALBERTO SANCHEZ MORALES	27714,"Short columns
Useless school court
Paint in deterioration
Drainage in dining areas
Flagpoles deteriorated ",short column useless school court paint deterioration drainage din area flagpole deteriorate,2.0,,3.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0
6,Caguas,ADELA BRENES TEXIDOR	26336,"Cracks in walls and floors, water leaks in ceilings and walls. Completely deteriorated paint. Court destroyed since Hurricane Maria. Court halls are flooded and need roof sealing.  Bathrooms with broken floor slabs, stairs with cracks and gaps. Impact joints of broken or corroded roofs. Bars need paint. Hallway lamps need to be changed. Broken sidewalks and need for ample parking. Broken gates.",crack wall floor water leak ceiling wall completely deteriorate paint court destroy since hurricane maria court hall flood need roof seal bathroom broken floor slab stair crack gap impact joint break corroded roof bar need paint hallway lamp need change broken sidewalk need ample park broken gate,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,1,1,0,0,0,0,1,0
7,Bayamón,ADELA ROLON FUENTES	78931,"Our school has very Good facilities to teach.  We are concerned: 
1. The parking gate motor and a gate blade that needs welding and the whole gate needs new wheels.
2. Interior lighting
3. A fallen pole in the parking lot 
4. The roof gate needs repair
5. The cistern (water box) is out of service",school good facility teach concerned parking gate motor gate blade need weld whole gate need new wheel interior light fall pole parking roof gate need repair cistern water box service,,4.0,,1.0,4.0,4.0,4.0,4.0,2.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0
8,Bayamón,ADOLFINA IRIZARRY DE PUIG 71514,"1. Campus paint but scratch previous paint
2. Front fence of school broken and gates turned into bars
Back fence to do it, there is not, the river broke it
3. Hats annex and school court
4. Roof leaks
5. Reconstruction of science lab, cabinets and sink",campus paint scratch previous paint front fence school break gate turn bar fence river break hat annex school court roof leak reconstruction science lab cabinet sink,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0,0,1,1,1,0,0,0,1,1,1,0
9,Ponce,ADRIAN TORRES TORRE 58594,"1. They have not started repairing the short columns.
2, They have not painted the school.
3. They have not repaired the existing air conditioners in the administrative areas and lounges.
4. Installation of lamps in outdoor areas, lounges and corridors (AEP informed me that they are not available)
5. Severe leaks in roofs so the ceilings are damaged and need repair.
6. Cabinets in EE and vocational halls are damaged with moth.
7. Acoustic to reduce noise in the school band room.
8. Science rooms do not have an appropriate laboratory.
9. room de Autismo does not have the materials and equipment required by this student population.
10. Furniture in living rooms are damaged with moths, including planks and kitchen cabinets.",start repair short column paint school repair exist air conditioner administrative area lounge installation lamp outdoor area lounge corridor aep inform available severe leak roof ceiling damage need repair cabinet ee vocational hall damage moth acoustic reduce noise school band room science room appropriate laboratory room de autismo material equipment require student population 0 furniture living room damage moth include plank kitchen cabinet,,,1.0,0.0,4.0,4.0,4.0,3.0,2.0,3.0,1,1,1,1,1,1,0,0,0,0,0,1
