"Details
Project",Street,City,State,Zip
10-00000-01,  ,Omaha,NE,
10-00001-02,  ,Omaha,NE,
10-00001-03,  ,Ord,NE,
10-00001-04,  ,Omaha,NE,
10-00001-06,  ,Omaha,NE,
10-00001-07,  ,Chicago,IL,
10-00001-08,  ,Ord,NE,
10-00001-13,  ,Hays,KS,
10-02125-12,27th & Q Streets  ,Omaha,NE,
10-05119-21,  ,Waverly,NE,
10-05126-04,  ,Omaha,NE,
10-07121-04,  ,Norfolk,NE,
10-07121-10,5th and McKinley Streets  ,Norfolk,NE,
10-07121-11,  ,Norfolk,NE,
10-07121-12,  ,Norfolk,NE,
10-07125-04,  ,Nebraska City,NE,
10-07125-05,  ,Nebraska Ctiy,NE,
10-07125-11,  ,Nebraska City,NE,
10-07127-28,  ,Kearney,NE,
10-07127-47,  ,Kearney,NE,
10-07127-62,  ,Kearney,NE,
10-07127-76,  ,Kearney,NE,
10-07127-77,  ,Kearney,NE,
10-07127-78,  ,Kearney,NE,
10-07127-85,  ,Kearney,NE,
10-07127-86,  ,Kearney,NE,
10-08107-05,  ,Lincoln,NE,
10-08111-20,1010 S. 144th Street  ,Omaha,NE,68154
10-08119-07,  ,Omaha,NE,
10-08143-08,  ,Louisville,NE,
10-09119-14,  ,Lincoln,NE,
10-09119-15,  ,Lincoln,NE,
10-09124-03,  ,Ogallala,NE,
10-09206-10,Norfolk Readiness Center 817 South 1st Street ,Norfolk,NE,68701-6007
10-09206-20,NEANG Training Site 1324 County Road 8 ,Mead,NE,68041
10-09206-30,14th & M Streets  ,Lincoln,NE,
10-09206-31,  ,Lincoln,NE,
10-09206-40,  ,Lincoln,NE,
10-10115-20,8050 N. 129th Avenue  ,Omaha,NE,68142
10-10119-01,  ,Bennington,NE,68007
10-10119-02,  ,Bennington,NE,68007
10-10123-02,  ,Peru,NE,68421
10-10123-03,  ,Peru,NE,68421
10-10123-10,  ,Peru,NE,68421
10-10123-13,  ,Peru,NE,68127
10-10124-05,  ,Lincoln,NE,68508
10-10124-06,  ,Lincoln,NE,68508
10-10124-07,  ,Lincoln,NE,68508
10-10124-08,  ,Lincoln,NE,68508
10-10124-09,  ,Lincoln,NE,68508
10-10124-11,  ,Lincoln,NE,68508
10-10124-12,  ,Lincoln,NE,68508
10-10124-13,  ,Lincoln,NE,
10-10124-14,  ,Lincoln,NE,68508
10-10124-15,  ,Lincoln,NE,68508
10-10124-16,  ,Lincoln,NE,68508
10-10124-17,  ,Lincoln,NE,68508
10-10124-18,  ,Lincoln,NE,68508
10-10124-19,  ,Lincoln,NE,68508
10-10124-20,  ,Lincoln,NE,68508
10-10124-21,  ,Lincoln,NE,68508
10-10124-22,  ,Lincoln,NE,68508
10-10124-23,  ,Lincoln,NE,68508
10-10124-24,  ,Lincoln,NE,68508
10-10124-25,  ,Lincoln,NE,68508
10-10124-26,  ,Lincoln,NE,68508
10-10124-27,  ,Lincoln,NE,68508
10-10124-28,  ,Lincoln,NE,68508
10-10124-29,  ,Lincoln,NE,68508
10-10124-30,  ,Lincoln,NE,68508
10-10124-31,  ,Lincoln,NE,68508
10-10124-32,  ,Lincoln,NE,68508
10-10124-33,  ,Lincoln,NE,
10-10124-34,  ,Lincoln,NE,68508
10-10124-35,  ,Lincoln,NE,68508
10-10124-36,  ,Lincoln,NE,68508
10-10124-37,  ,Lincoln,NE,68508
10-10124-38,  ,Lincoln,NE,68508
10-10124-39,  ,Lincoln,NE,68508
10-10124-40,  ,Lincoln,NE,68508
10-10125-22,  ,Lincoln,NE,68508
10-10126-23,  ,Gretna,NE,68028
10-10126-24,  ,Gretna,NE,68028
10-10126-25,  ,Gretna,NE,68028
10-10126-31,  ,Gretna,NE,68028
10-10126-32,  ,Gretna,NE,68028
10-10126-51,  ,Gretna,NE,68028
10-10126-60,  ,Gretna,NE,68028
10-10126-70,  ,Gretna,NE,68028
10-10126-80,  ,Gretna,NE,68028
10-10207-04,27th & Old Cheney Road  ,Lincoln,NE,68503
10-10207-05,27th & Old Cheney Road  ,Lincoln,NE,68503
10-11105-03,  ,York,NE,68467
10-11105-10,  ,York,NE,68467
10-11108-00,  ,Broken Bow,NE,68822
10-11108-01,  ,Broken Bow,NE,68822
10-11108-02,  ,Broken Bow,NE,68822
10-11108-10,  ,Broken Bow,NE,68822
10-11109-00,  ,Falls City,NE,68355-0129
10-11110-00,  ,Omaha,NE,68124
10-11110-01,  ,Omaha,NE,68124
10-11110-02,  ,Omaha,NE,68124
10-11110-03,  ,Omaha,NE,68124
10-11110-04,  ,Omaha,NE,68124
10-11111-00,1322 Avenue I  ,Gothenburg,NE,69138
10-11111-05,1322 Avenue I  ,Gothenburg,NE,69138
10-11111-10,1322 Avenue I  ,Gothenburg,NE,69138
10-11111-15,  ,Gothenburg,NE,69138
10-11111-20,  ,Gothenburg,NE,69138
10-11111-21,  ,Gothenburg,NE,69138
10-11111-25,  ,Gothenburg,NE,68138
10-11111-26,  ,Gothenburg,NE,68138
10-11112-00,  ,Millard,NE,68137
10-11112-01,  1,Millard,NE,68137
10-11113-00,1111 Main Street  ,Wayne,NE,68787
10-11114-00,  ,Crete,NE,68333
10-11115-00,12th & Jackson  ,Omaha,NE,68102
10-11116-00,11707 Miracle Hills Drive  ,Omaha,NE,68154
10-11116-01,  ,Omaha,NE,68154
10-11116-02,  ,Omaha,NE,68154
10-11116-03,  ,Omaha,NE,68154
10-11116-04,  ,Omaha,NE,68154
10-11116-05,  ,Omaha,NE,68154
10-11116-20,  ,Omaha,NE,68154
10-11117-00,  ,Ralston,NE,
10-11118-00,  ,Omaha,NE,68102
10-11119-00,  ,Omaha,NE,68106
10-11120-00,  ,Omaha,NE,68182
10-11120-01,  ,Omaha,NE,68182
10-11121-00,  ,Omaha,NE,68182
10-11122-00,  ,Omaha,NE,
10-11123-01,  ,Crete,NE,68333
10-11123-02,  ,Crete,NE,68333
10-11123-03,  ,Crete,NE,68333
10-11124-01,  ,Elkhorn,NE,68022
10-11124-10,3220 S 188th Avenue  ,Elkhorn,NE,68130
10-11124-11,  ,Elkhorn,NE,68130
10-11124-12,3220 S 188th Avenue  ,Elkhorn,NE,68130
10-11124-20,4910 N 177th Street  ,Elkhorn,NE,68116
