"Details
Project",Street,City,State,Zip
25-07060-00,"La Tuilière 6, 1163  ",Etoy,Romandy,
25-07082-00,  ,Abu Dhabi,AbuDahabi,
39-18811-00,200 King Street E  ,Toronto,ON,m9n1l7
55-00000-09,Golf Course Extension Road  ,Gurgaon,Haryana,122102
55-00000-10,Sector 60  ,Gurgaon,Haryana,122102
55-00000-11,Malad West  ,Mumbai,Mumbai,400064
55-00000-12,Sector 61  ,Gurgaon,add,122102
55-00000-20,Sablière B.P. 4000  ,Libreville,libreville,
55-00000-28,4 Avenue Gabriel  ,Paris,add,75008
55-00000-29,  ,Tijuana,BJ,
55-17109-00,  ,Berne,.,
55-17109-03,  ,Berne,.,
55-17109-04,  ,Berne,.,
57-12020-00,  ,Xi'an,TW,
57-12069-00,  ,Taipei City,TW,
57-12070-00,  ,Taipei City,TW,
57-13021-00,  ,Libreville,libreville,
57-13116-00,  ,Libreville,libreville,
57-13132-00,  ,Beijing,Beij,
68-00000-01,  ,Shanghai,shan,
68-00000-02,  ,Chengdu,Sic,
68-00000-03,  ,Dujiangyan,Sic,
68-00000-04,  ,Shanghai,shan,
68-00000-05,  ,Guanzhou,Gau,
68-00000-06,  ,JiangSu,JS,
68-00000-07,  ,Shanghai,shan,
68-00000-08,  ,Taiyuan,SX,
68-00000-09,  ,Wuxi,JS,
68-00000-10,  ,Wuhan,Hub,
68-00000-11,  ,Zhuhai,Gau,
68-11102-00,  ,Ningbo,zhe,
68-11102-10,  ,Ningbo,zhe,
68-11103-00,  ,East China,shan,
68-11104-00,"Sheshan National Resort Area, 5088 Chenghua Road  ",Songiang District,shan,201600
68-11104-10,  ,Songiang District,shan,
68-11105-00,  ,Tiajin,zhe,
68-11106-00,  ,Shenzhen,Gau,
68-11107-00,  ,Tianjin,tia,
68-11108-00,  ,Beijing,Beij,
68-11109-00,  ,Kunming,yun,
68-11110-00,  ,Guadalajara,JA,
68-11111-00,  ,Jinjiang,fuj,
68-11112-00,  ,Dilian,Lia,
68-11113-00,  ,Beijing,Beij,
68-11113-10,  ,Ningbo,zhe,
68-11113-20,  ,Ningbo,zhe,
68-11202-00,171 Prospect Mira  ,Bishkek,Bishkek,720016
68-12101-00,Pully Campus  ,Lusanne,Romandy,
68-12101-01,Puxi Campus in Shanghai Shunyi Campus in Beijing ,Shanghai & Beijing,Beij,
68-12101-02,  ,Aubonne,Romandy,
68-12102-00,  ,Dubai,Dubai,
68-12122-00,  ,Jeddah,jedd,
68-13101-00,Sector 30  ,Navi Mumbai,Mah,MH 400706
68-13102-00,  ,Kangundo,Kenya,
68-13103-00,  ,Navi Mumbai,Mah,
68-13104-00,"India - use Seattle, WA in order to set up project  ",New Delhi,Del,
68-13104-01,FIFC  ,Mumbai,Mumbai,
68-13104-02,"Infinity Mall Mumbai, India  ",Mumbai,Mumbai,
68-13104-03,"Mumbai Domestic Airport Airport Arrivals Mumbai, India ",Mumbai,Mumbai,
68-13104-04,Koregaon Park  ,Pune,Mah,
68-13105-00,"Petronas Twin Towers Level 54, Tower 2 ",Kaula Lumpur City,KL,
68-13106-00,"Al Barsha 1, Dubai  ",Dubai,Dubai,Dubai
68-13106-01,  ,Dubai,Dubai,Dubai
68-13106-02,  ,Dubai,Dubai,
68-13106-03,  ,Dubai,Dubai,
68-13106-04,  ,Dubai,Dubai,
68-13106-05,  ,Dubai,Dubai,
68-13106-06,  ,Dubai,Dubai,
68-13106-07,  ,Dubai,Dubai,
68-13106-08,"Al Barsha 1, Dubai  ",Dubai,Dubai,
68-13106-09,"Al Barsha 1, Dubai  ",Dubai,Dubai,
68-13106-10,  ,Dubai,Dubai,
68-13106-11,"Al Barsha 1, Dubai  ",Dubai,Dubai,
68-13106-12,"Al Barsha 1, Dubai  ",Dubai,Dubai,
68-13106-13,"Al Barsha 1, Dubai  ",Dubai,Dubai,
68-13106-20,  ,Dubai,Dubai,
68-13106-30,  ,Dubai,Dubai,
68-13106-31,  ,Dubai,Dubai,
68-13106-40,  ,Dubai,Dubai,
68-13106-50,  ,Dubai,Dubai,
68-13106-60,  ,Dubai,Dubai,
68-13107-00,Al Rayyan Gate  ,Doha,Doha,Doha
68-13107-01,  ,"Doha, Qatar",Doha,Doha
68-13107-02,  ,"Doha, Qatar",Doha,Doha
68-13107-03,  ,"Doha, Qatar",Doha,Doha
68-13108-00,  ,Dubai,Dubai,Dubai
68-13109-00,  ,Port-au-Prince,Ouest,
68-13110-00,813-814 International Trade Tower  ,Nehru Place,Del,110019
68-13111-00,114 Hasan Aliyev Street  ,Baku,Baku,AZ1052
68-13112-00,400 E Del Cruce  ,La Guácima,Alajuela,11301
68-13113-00,3211 Grant McConachie Way  ,Richmond,BC,
68-13114-00,  ,Edmonton,AB,
68-13115-00,Soho KL  ,Kuala Lumpur,KL,
68-13116-00,  ,Regina,SK,S4M 0A1
68-13116-10,  ,Regina,SK,S4M 0A1
68-13117-00,25 Nobel Avenue  ,White City,Baku,AZ 1025
68-13118-00,University of Ottawa  ,Ottawa,ON,
68-13119-00,Indira Nagar  ,Bangalore,kamataka,560038
68-13120-00,Prestige Church Street  ,Bangalore 560001,kamataka,560001
68-13121-00,"Off Linking Road, Santacruz West  ",Delhi,Del,
68-13122-00,Amritsar  ,Nehru Place,Del,110019
68-13123-00,  ,Pago Pago,Pago,96799
68-13124-00,Jinyuan Yansha #4  ,Beijing,Beij,
68-13125-00,Oriental Ginza  ,Beijing,Beij,
68-13126-00,  ,St. Johns,stJohn,
68-13127-00,Wangjing Cadenza Shopping Center  ,Beijing,Beij,
68-13128-00,Euro Plaza Tianzhu area of Shunyi District ,Beijing,Beij,
68-14101-00,  ,Guanacaste,Guanacaste,
68-14102-00,  ,Halifax,NS,
68-14103-00,Safeway Store #305  ,Winnipeg,MB,
68-14104-00,Safeway Store #301  ,Regina,SK,
68-14105-00,  ,Port-au-Prince,Ouest,
68-14106-00,  ,Port-au-Prince,Ouest,
