Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Concentrate (Hard Focus),Ideate (Soft Focus),Collaborate,Learn,Socialize,Restore,Circulate, Other,Other - Text,"At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Concentrate","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Ideate","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Collaborate","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Learn","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Socialize","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Restore","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Circulate","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Other","At the beginning of full-time remote, some employees felt like work was manageable or even better when working from home, while others felt like it was still best done in the office. We know you've learned a lot and probably changed your mind about a few things. So with today's perspective: what goes well at home vs. in the office? Check as many as fell right; it's OK if some Modes go well in both spaces or if some Modes don't go well in either. - Other - Text","For anything you indicated is best when you're working from home, please share more about why you think that is. We'd love to hear specifics if you want to share them.","For anything you indicated is best when you're in the office, please share more about why you think that is. We'd love to hear specifics if you want to share them."
5/3/2021 13:03,5/3/2021 13:03,Survey Preview,,100,18,True,5/3/2021 13:03,R_3JFaYlcRiFYtru9,,,,,47.62950134,-122.3164978,preview,EN,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5/3/2021 18:55,5/3/2021 18:56,Survey Preview,,100,72,True,5/3/2021 18:56,R_1pyUHpzvUOn95mB,,,,,44.94020081,-93.21880341,preview,EN,40,10,0,0,10,0,20,20,,,,,,,,,,,,
5/4/2021 14:06,5/4/2021 14:08,IP Address,192.107.245.100,100,145,True,5/4/2021 14:08,R_QhMcK8pL949mrZv,,,,,44.82899475,-93.32189941,anonymous,EN,40,20,10,10,10,5,5,0,,Best when WFH,Best when WFH,Best when WFH,Best when WFH,Best when working in the office,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,173,True,5/4/2021 14:09,R_9mZ74UwMI98LUrv,,,,,44.82899475,-93.32189941,anonymous,EN,40,20,20,5,5,5,5,0,,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,,,,"the collaboration suffers at home, things take longer and is not the same as being in the office in person for this."
5/4/2021 14:07,5/4/2021 14:09,IP Address,75.72.189.124,100,119,True,5/4/2021 14:09,R_3mekWHKXelY52yJ,,,,,44.94020081,-93.21880341,anonymous,EN,20,35,10,10,10,10,5,0,,Best when WFH,,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,,,,
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,193,True,5/4/2021 14:09,R_1rBavrd47ftbM2n,,,,,44.82899475,-93.32189941,anonymous,EN,40,20,15,10,5,5,5,0,,Best when WFH,Best when working in the office,Best when working in the office,Best when WFH,Best when working in the office,Best when WFH,Best when working in the office,Best when working in the office,,keep focus,easier to have a meeting in person
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,157,True,5/4/2021 14:09,R_oZ63RkUqwlE5cLD,,,,,44.82899475,-93.32189941,anonymous,EN,40,30,10,5,5,5,5,0,,Best when WFH,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when WFH,Goes well for me in both locations,N/A,I have fewer distractions when working from home and have a standing desk/treadmill which makes it easy to walk and work at the same time.,Collaboration and socialization are easier in the officer just because everyone is face to face.
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,168,True,5/4/2021 14:09,R_2eRWjvVyR33BSW8,,,,,44.82899475,-93.32189941,anonymous,EN,60,13,10,8,3,3,3,0,,Best when WFH,Best when WFH,Best when working in the office,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Goes well for me in both locations,,,,
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,211,True,5/4/2021 14:09,R_1FyVmmK9L9OGi8w,,,,,44.82899475,-93.32189941,anonymous,EN,75,5,15,5,0,0,0,0,,Best when WFH,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Struggling with this in both locations,Struggling with this in both locations,Best when WFH,n/a,Less distractions at home,Face to face interactions for collaboration are always preferred
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,221,True,5/4/2021 14:09,R_2Vw0VfRnEB7A8YB,,,,,44.82899475,-93.32189941,anonymous,EN,10,10,60,10,5,0,5,0,,Goes well for me in both locations,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,Best when WFH,Best when WFH,,,getting away from work is easiest at home,"Being at work helps in collaborating, learning and socializing. Ideating is done better when in the office since there are less non-work distractions. In the right setting, concentration can be done well at either."
5/4/2021 14:08,5/4/2021 14:09,IP Address,192.107.245.100,100,104,True,5/4/2021 14:09,R_UirquKvRGCMLl5v,,,,,44.82899475,-93.32189941,anonymous,EN,40,10,15,20,5,5,5,0,,Best when WFH,Goes well for me in both locations,Best when working in the office,Best when working in the office,Best when working in the office,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,230,True,5/4/2021 14:09,R_rcDKy2vTjgoWh9f,,,,,44.82899475,-93.32189941,anonymous,EN,55,10,5,5,5,10,10,0,,Best when WFH,Best when WFH,Best when working in the office,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:09,IP Address,192.107.245.100,100,194,True,5/4/2021 14:09,R_xhggcvbUhQ5RGXn,,,,,44.82899475,-93.32189941,anonymous,EN,25,50,0,0,0,15,10,0,,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Goes well for me in both locations,,,ability to manage both home and personal life together ,able to turn around and share ideas/thoughts right away
5/4/2021 14:07,5/4/2021 14:10,IP Address,68.47.2.147,100,149,True,5/4/2021 14:10,R_3NHVJcxUheFUdLn,,,,,44.78179932,-93.51650238,anonymous,EN,40,20,20,5,5,5,5,0,,Best when WFH,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:10,IP Address,192.107.245.100,100,217,True,5/4/2021 14:10,R_239OIFGq8q8FULL,,,,,44.82899475,-93.32189941,anonymous,EN,30,20,15,10,5,10,10,0,,Best when WFH,Best when WFH,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,,Quieter at home.  Less distractions,Harder to socialize over GoTo Meeting
5/4/2021 14:07,5/4/2021 14:10,IP Address,75.72.121.34,100,163,True,5/4/2021 14:10,R_Ayu17dOLM98VwMV,,,,,44.80580139,-93.60710144,anonymous,EN,96,1,1,1,0,1,0,0,,Best when WFH,Best when WFH,Goes well for me in both locations,Best when WFH,Goes well for me in both locations,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:10,IP Address,68.46.89.179,100,246,True,5/4/2021 14:10,R_UbdHrfbwn8VDBAd,,,,,44.8348999,-93.28140259,anonymous,EN,25,15,20,10,10,10,10,0,,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,,,,"In office was much better at getting up and taking a break to go for a walk. Think this is because had coworkers to go with me. Hardly ever take a break when WFH. 

Learning was better in the office. Much more engaging for trainings to be done in person. "
5/4/2021 14:06,5/4/2021 14:10,IP Address,107.4.146.175,100,253,True,5/4/2021 14:10,R_Di1F0z20OGz6U5r,,,,,45.17129517,-93.3871994,anonymous,EN,60,10,10,5,5,0,10,0,,Best when WFH,Best when WFH,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Best when WFH,Best when WFH,,,,
5/4/2021 14:06,5/4/2021 14:10,IP Address,192.107.245.100,100,262,True,5/4/2021 14:10,R_2ccR3Y82OSw9AD7,,,,,44.82899475,-93.32189941,anonymous,EN,35,20,10,10,15,5,5,0,,Goes well for me in both locations,Best when working in the office,Best when working in the office,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Goes well for me in both locations,,,,In the office it is easier to bounce ideas off of a coworker.
5/4/2021 14:06,5/4/2021 14:10,IP Address,192.107.245.100,100,246,True,5/4/2021 14:10,R_1LnEgfYbdLIFIpp,,,,,44.82899475,-93.32189941,anonymous,EN,20,20,30,10,10,5,5,0,,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Best when WFH,Goes well for me in both locations,,NA,"Restoring is often a more personalized, individualized activity, where separation from the workplace is helpful. ",Collaborating and socializing with colleagues can be done virtually but feel like there's always a little something missing when we do that can only be obtained in person -- even that interpersonal energy that is hard to explain. 
5/4/2021 14:06,5/4/2021 14:10,IP Address,71.89.73.87,100,276,True,5/4/2021 14:10,R_2YRQJOaYdFBjMSM,,,,,45.21000671,-93.66069794,anonymous,EN,65,15,14,5,1,0,0,0,,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Struggling with this in both locations,Struggling with this in both locations,,None,,Socialization is easier in my position at the office as we normally don't see our coworkers for more then a few hours a week.
5/4/2021 14:06,5/4/2021 14:10,IP Address,192.107.245.100,100,280,True,5/4/2021 14:10,R_2fiEbKEOBl6CVSs,,,,,44.82899475,-93.32189941,anonymous,EN,30,25,15,10,5,10,5,0,,Best when WFH,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when working in the office,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,none,Fewer distractions at home - more worktime with less commute time,Socializing better when in person - tough to read people on screens or voice only
5/4/2021 14:06,5/4/2021 14:10,IP Address,192.107.245.100,100,291,True,5/4/2021 14:11,R_sR4ZZIx4z7xWZyx,,,,,44.82899475,-93.32189941,anonymous,EN,25,15,20,20,10,5,5,0,,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,,more time for the restore and circulate at home. and sometime the hard focus is easier.,"Specific tasks that need me to be hands on are best done in office with the equipment necessary,"
5/4/2021 14:06,5/4/2021 14:11,IP Address,68.117.46.117,100,294,True,5/4/2021 14:11,R_2woQDklzqImnAje,,,,,44.67070007,-93.25879669,anonymous,EN,35,10,15,15,10,10,5,0,NA,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when working in the office,,NA,More privacy. More productive concentrative work. ,Seeing people and talking with them. Some people are still sociable at home but reaching out to others is hard to just chat. 
5/4/2021 14:06,5/4/2021 14:11,IP Address,192.107.245.100,100,291,True,5/4/2021 14:11,R_DB4zcfkSLzSWUHT,,,,,44.82899475,-93.32189941,anonymous,EN,45,15,10,8,5,8,5,4,,Goes well for me in both locations,Goes well for me in both locations,Best when working in the office,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when working in the office,,,"It is easier to get up and take a walk at home than in the office because I have to use the elevator, etc to get outside.",I feel it is better and easier to collaborate with people in person than in a zoom mtg
5/4/2021 14:06,5/4/2021 14:11,IP Address,24.131.143.138,100,257,True,5/4/2021 14:11,R_2wQQU4gOPw4J8DS,,,,,44.76010132,-93.27480316,anonymous,EN,40,15,15,15,5,5,5,0,,Best when WFH,Best when WFH,Best when working in the office,Best when WFH,Best when working in the office,Best when WFH,Best when WFH,,,Fewer distractions,Easier to work with others when there ARE others!
5/4/2021 14:07,5/4/2021 14:11,IP Address,73.242.38.165,100,233,True,5/4/2021 14:11,R_24q8c1aoKsI2etE,,,,,44.8782959,-93.37129974,anonymous,EN,30,30,10,10,10,5,5,0,,Best when WFH,Best when WFH,Goes well for me in both locations,Best when working in the office,Best when working in the office,Best when WFH,Goes well for me in both locations,,,It is quieter at home so much easier to concentrate.  Very few interuptions,"There are people at work to socialize with, while at home I am by myself."
5/4/2021 14:07,5/4/2021 14:11,IP Address,192.107.245.100,100,198,True,5/4/2021 14:11,R_beYQ3uLMAjEAltn,,,,,44.82899475,-93.32189941,anonymous,EN,25,25,15,10,10,10,5,0,,Best when WFH,Best when WFH,,Goes well for me in both locations,Best when working in the office,Best when WFH,Best when working in the office,,,Concentration is higher because of less opportunities to be distracted by things like socializing with co-workers. ,It's much easier to collaborate and socialize in person. 
5/4/2021 14:06,5/4/2021 14:11,IP Address,192.107.245.100,100,263,True,5/4/2021 14:11,R_24ATfLLYTYHSvCd,,,,,44.82899475,-93.32189941,anonymous,EN,20,20,10,10,25,5,5,5,misc,Goes well for me in both locations,Best when working in the office,Best when working in the office,Goes well for me in both locations,Best when working in the office,Struggling with this in both locations,Best when working in the office,Struggling with this in both locations,,ability to concentrate,much easier to communicate and understand ideas when discussing in person
5/4/2021 14:08,5/4/2021 14:11,IP Address,173.23.105.195,100,183,True,5/4/2021 14:11,R_2QLjlImXxiJHC7L,,,,,44.9006958,-93.57730103,anonymous,EN,25,20,25,10,10,5,5,0,,Best when WFH,Best when WFH,Best when working in the office,Goes well for me in both locations,Best when WFH,Goes well for me in both locations,Best when working in the office,,,Easier to concentrate without interruptions.,Collaborating with people in the office is very useful. 
5/4/2021 14:06,5/4/2021 14:11,IP Address,192.107.245.100,100,315,True,5/4/2021 14:11,R_2QLgWfu5t9Vj9nr,,,,,44.82899475,-93.32189941,anonymous,EN,20,20,10,20,5,5,20,0,,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,Best when working in the office,,,,"I enjoy being around people, and i like being able to get up and move around in the office. The area in which i work, we are 50/50 moving and at our desk when in the office, at home, i am tied to phones and at my desk unless I am on break."
