,NameFilter,RoomModelId,ProjectName,RoomId,RoomName,Name2,Cluster,Label,Label2
0,acc shower toilet,-1001538135,KIRKLAND URBAN SOUTH,-1001538135:10410040,ACC SHOWER / TOILET,acc shower   toilet,a1,restroom restrooms toilet toilets,Restroom
1,acc shower toilet,-1001538135,KIRKLAND URBAN SOUTH,-1001538135:10410036,ACC SHOWER / TOILET,acc shower   toilet,a1,restroom restrooms toilet toilets,Restroom
2,acc shower toilet,-1001538135,KIRKLAND URBAN SOUTH,-1001538135:10410038,ACC SHOWER / TOILET,acc shower   toilet,a1,restroom restrooms toilet toilets,Restroom
3,access maintenance,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:9676183,MAINTENANCE ACCESS,maintenance access,a-1,storage stor,Junk
4,access maintenance,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23297085,MAINTENANCE ACCESS,maintenance access,a-1,storage stor,Junk
5,access mechanical,-1084757758,BUILDING 1,-1084757758:1167871,MECHANICAL ACCESS,mechanical access,a21,mechanical mech,Mechanical
6,access mechanical,825255447,OPTDC-1S12P4MV BIM DESIGN TEMPLATE BOD v1.3,825255447:1167871,MECHANICAL ACCESS,mechanical access,a21,mechanical mech,Mechanical
7,access mechanical,10332910,BUILDING 1,10332910:4517096,MECHANICAL ACCESS,mechanical access,a21,mechanical mech,Mechanical
8,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275794,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
9,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23273118,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
10,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23276597,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
11,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23334461,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
12,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:5299771,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
13,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275776,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
14,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13870044,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
15,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23331158,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
16,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13869911,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
