Opportunities.OpportunityID,Street,City, State,Zip
0B0518CDF0DA4724A63055D58FDEAAC6,,Adelanto, CA,
87FC9766885B4BA7A324FFF84C02CC81,,Alvin, TX,
4DBFE076507847498C4EEB50F4F7CA78,,Anaheim, CA,
03FB13ED9E914C0FB9B799DCBA17E9E5,,Anaheim, CA,
2EA05CBCD9154AF48437FDC36CFAA0E1,,Angleton, TX,
4A9FE2BFF8474275BB3DB44435D5BB91,,Atlanta, GA,
BD72C06F0E544B9F9A2DEF17500FB9C5,,Austin, TX,
55F1471783BC41DA87587CBC1BE759E0,,Austin, TX,
D38403E63F5A488CB7EE3A27D07EC7A1,,Austin, TX,
6C3BF3F23BE349DEBD438FD9E6B8832D,,Austin, TX,
61AD8E00CA8248C78CCEA164F905107B,,beaumont, CA,
52A1EBBE0EAB44848E63C422BABC3007,,Boone, NC,
7D993ABA87ED4A3AA5753D7E2FC470C7,,Boone, NC,
7912759C887E426A9C662E99979446EC,,Bryan, TX,
B5558DD187BC42B688CC0B4E8E98A7D7,,Charleston, SC,
4FFC5ADF99D642EBB1EEBA31AF562485,,Charleston, SC,
5522B11C2FC34288AEF7099F32FCF2D4,,Charleston, SC,
5E24AB6663E24FA8BE713B5139DCEEF1,,Charlotte, NC,
93A9F7D5E4644C8A9DC1C7517EB4F0BC,,Charlotte, NC,
518A694B92DF4B19A1C562DCD3F04354,,Charlotte, NC,
28F84B6E8BD3480A94182601DFFD03A6,,Charlotte, NC,
A488B5006A024F04A321CDA3A6FA8EB7,,Charlotte, NC,
0695AA51A9A0484AA1680AC02F20552E,,Charlotte, NC,
3EB3FFEC6B5E42EABC05F080F016CDDF,,Charlotte, NC,
A8D4432EBE294214B213DD167020583D,,Charlotte, NC,
EB058DB1BBC44AC19C67F35BA57CA3DD,,Chino, CA,
29E21BF87F8544979BD9894CAF70D08C,,Clover, SC,
C84B9E7B1D8645C18898F73A96270D3B,,College Station, TX,
000DEE3FCD994C6FBCABF7211F77712E,,College Station, TX,
F47E4C5CB4304B05A0D6938AE8A9CE25,,Columbia, SC,
65FF4E9659794F41BA48B1DCE2BCE553,,Conroe, TX,
3237B5B1F66341888F3CC79374963434,,Conroe, TX,
CHpotent100414_0053,,Conroe, TX,
59836686B1D446A399ABA25BC69B6A9A,,Conroe, TX,
C0502B655227491C81BA8BD8D22E3C08,,Conroe, TX,
C965CFE57B44414496999EE9439F9E80,,Corona, CA,
3E2D4B3F3052446EA9AD45784DAB4B72,,Corpus Cristi, TX,
9D0B92939BD145B5BFBDF130CC89D60F,,Corpus Cristi, TX,
74DB748EE8EC4C38BA813351A5AF3042,,Corpus Cristi, TX,
E99A0EF9171A40F6B77890B6CB2E4944,,cumberland, WI,
205A95F518524057B3CE7D2775C4781D,,Cypress, CA,
CHpotent100414_0820,,East Palmdale, CA,
C7CE8634829A4E7B880E2C4AC7172CEC,,Encintas, CA,
11DED8FC9D1E464D9112E98A458AD467,,Escondido, CA,
0F374DA1199E45F79870903CCA57DEC2,,Fallbrook, CA,
952B2EDBEF1948669184E80528D6127F,,Florence, AZ,
0F814D9292544D5FBC26063F3A587CEA,,Fontana, CA,
423117BDEA0B4CD4A34D2A0FCAEFD6E9,,Fullerton, CA,
81EB8640FB954B1C8817573C09245946,,Fullerton, CA,
3105EB44C6FE4B4693503F98CD296DAB,,Glendale, CA,
56DC108E5974486385BE3E1F3A008449,,Goldsboro, NC,
5E5A68185188401E9F0E028C38CC938F,,Greensboro, NC,
3EBDB7599F2B40A89E44B88EC26C2C10,,Greensboro, NC,
C36E186E1F134A19B27557D3A33359DF,,Greensboro, NC,
A08635E8B66344A6891A42E896789B66,,Greensboro, NC,
10F550A81B5A4AF3814119827D06432A,,Greensboro, NC,
6AAC5C5978824AA0923248B806DE7E5E,,Greensboro, NC,
E377C1E6CC8248AD81045CB28E38133E,,Greensboro, NC,
80EE870D6AF34BEC9A2A53471E69FACB,,Greensboro, NC,
2B34242F25C84919928741BD0E3B3BE1,,Greensboro, NC,
0A11B2422774483EA0B272354D9A3610,,Greensboro, NC,
2BC74FF13A9E4EDB9B656F0EE9052CE7,,Greenville, SC,
02F30BE1E7F5486884F9A52FA656666F,,Gulf Shores, AL,
DBF135846FD341BEB6E26FC17B8E7A63,,Hemet, CA,
F99A1FF987DD467DBA331B281B98C3F3,,Hemet, CA,
CA9E58E6E883436885BD1A9E77E4E500,,High Point, NC,
WRL2024,,High Point, NC,
WRL2025,,High Point, NC,
6244C360B30F4042AFDC2420C67E6BCB,,Hilton Head, SC,
